Id,Price
725,160815.07977672762
15856,205666.31664294424
5480,198542.27975072307
15664,341109.9859723878
14275,138545.85510461678
7633,206719.9721596399
13329,179508.3096967695
5502,222816.58360020397
4220,295014.0806467247
11538,212824.4822279825
15975,271487.06759611424
3310,213816.46506341084
9286,151754.8112570316
11260,182726.9429705238
5214,105303.57613886734
11307,179621.79972045013
13543,372721.2349605103
615,186229.14404708103
3495,217988.29157513022
2321,234473.92689488918
12046,181667.1896373793
16688,144760.57366679088
12694,220178.09912121057
783,149532.4877584214
8968,172599.30922540804
13454,178155.12748455335
12190,278465.99715572014
11160,112587.03186991095
10291,195609.7261968391
891,283435.352645066
2982,181366.00953922878
3818,251060.9923924078
2449,198125.3435299755
8317,165078.73834984732
4922,179297.2347429868
1257,241265.5373836902
9348,209466.28307875534
4176,201686.05529291456
10704,165024.17392579286
6624,114393.32953481119
5428,177378.97386432052
12749,179955.45735819297
8994,200222.33159473538
11513,144544.89268092837
3047,176694.1014719672
9519,227990.05906509445
12309,236779.1736410338
14081,282624.1696649581
8334,247464.1514419551
6343,177190.37265939917
14788,131027.65947623925
15748,392093.9754445206
153,242344.55267795725
14149,183310.19470933385
269,193113.2752842488
5452,129960.0422480007
721,169898.66211184644
5079,343568.14006676315
2831,122059.58585230315
10614,110632.70544065083
10131,244653.65631562684
9996,298049.75416808756
3061,194187.27663765964
11733,330070.3111676701
3726,269103.5479076137
10929,212505.69335897267
9011,354330.71313171333
16182,291719.8889928264
4976,182141.2407142838
9897,247448.5250495823
1872,152345.3079630103
9205,400744.84984482866
5403,385650.0528421929
14074,204763.65019599252
6268,153632.61601882405
14232,165410.87924161836
8532,235570.7541840273
7034,325809.6371322656
6553,448258.0384165924
3133,173933.67014259554
8596,201377.88231443035
12389,238561.60205781765
14462,179067.9162083055
8860,334876.41346414894
8377,297221.99299948174
6367,295230.9380906141
6917,250737.1635996983
4216,195862.9519226134
5806,173493.21239780087
5438,179416.31387529406
6632,193149.19910696778
2650,155390.0773231044
5396,216886.39925375715
4044,153437.81298289006
1345,225015.66604054807
856,183000.7782511501
12791,259289.34357252868
12499,215216.66346471617
12249,127883.1878371273
14641,139103.47845645624
1919,167166.34440265325
7848,197578.13726538306
10749,181760.81691342415
15554,187030.38051425654
15834,144107.89709042112
1355,148009.97095328252
15451,177713.7047825557
12401,211198.77336564107
10290,168773.88720049386
9462,116968.32935587593
3103,237007.56360131645
3420,134940.4559898882
12262,237568.3859117643
